,X,Y,Code,Dep
152,100,100,CDG,-36
153,100,100,CDG,-37
154,100,100,GRANITE,-38
155,100,100,GRANITE,-38
156,100,100,GRANITE,-39
163,100,0,MUD,-7
164,100,0,MUD,-8
165,100,0,MUD,-9
166,100,0,CLAY,-10
167,100,0,CLAY,-11
168,100,0,CLAY,-12
169,100,0,CLAY,-13
170,100,0,CLAY,-14
171,100,0,CLAY,-15
172,100,0,CLAY,-16
173,100,0,CLAY,-17
174,100,0,CLAY,-18
175,100,0,CDG,-19
176,100,0,CDG,-20
177,100,0,CDG,-21
178,100,0,CDG,-22
179,100,0,CDG,-23
180,100,0,CDG,-24
181,100,0,CDG,-25
182,100,0,CDG,-26
183,100,0,CDG,-27
184,100,0,CDG,-28
185,100,0,CDG,-29
186,100,0,CDG,-30
187,100,0,CDG,-31
188,100,0,GRANITE,-32
189,100,0,GRANITE,-33
190,100,0,GRANITE,-34
191,100,0,GRANITE,-35
192,100,0,GRANITE,-35
193,100,0,GRANITE,-36
194,100,0,GRANITE,-37
195,100,0,GRANITE,-38
196,100,0,GRANITE,-39
204,200,100,MUD,-5
205,200,100,MUD,-6
206,200,100,MUD,-7
207,200,100,MUD,-8
208,200,100,MUD,-9
209,200,100,CLAY,-10
210,200,100,CLAY,-11
211,200,100,CLAY,-12
212,200,100,CLAY,-13
213,200,100,CLAY,-14
214,200,100,CDG,-15
215,200,100,CDG,-16
216,200,100,CDG,-17
217,200,100,CDG,-18
218,200,100,CDG,-19
219,200,100,CDG,-20
220,200,100,CDG,-21
221,200,100,CDG,-22
222,200,100,CDG,-23
223,200,100,CDG,-23
224,200,100,CDG,-24
225,200,100,CDG,-25
226,200,100,CDG,-26
227,200,100,CDG,-27
228,200,100,GRANITE,-28
229,200,100,GRANITE,-29
230,200,100,GRANITE,-30
231,200,100,GRANITE,-31
232,200,100,GRANITE,-31
233,200,100,GRANITE,-32
234,200,100,GRANITE,-33
235,200,100,GRANITE,-34
236,200,100,GRANITE,-35
237,200,100,GRANITE,-36
238,200,100,GRANITE,-37
239,200,100,GRANITE,-37
240,200,100,GRANITE,-38
241,200,100,GRANITE,-39
248,200,0,MUD,-5
249,200,0,MUD,-6
250,200,0,MUD,-7
251,200,0,MUD,-8
252,200,0,MUD,-9
253,200,0,MUD,-10
254,200,0,CLAY,-11
255,200,0,CLAY,-12
256,200,0,SAND,-13
257,200,0,CDG,-14
258,200,0,CDG,-15
259,200,0,CDG,-16
260,200,0,CDG,-17
261,200,0,CDG,-18
262,200,0,CDG,-19
263,200,0,CDG,-20
264,200,0,CDG,-21
265,200,0,CDG,-22
266,200,0,CDG,-23
267,200,0,CDG,-24
268,200,0,GRANITE,-25
269,200,0,GRANITE,-26
270,200,0,GRANITE,-27
271,200,0,GRANITE,-28
272,200,0,GRANITE,-28
273,200,0,GRANITE,-29
274,200,0,GRANITE,-30
275,200,0,GRANITE,-31
276,200,0,GRANITE,-32
277,200,0,GRANITE,-33
278,200,0,GRANITE,-34
279,200,0,GRANITE,-35
280,200,0,GRANITE,-36
281,200,0,GRANITE,-37
282,200,0,GRANITE,-38
283,200,0,GRANITE,-39
0,300,0,MUD,-2
1,300,0,MUD,-3
2,300,0,MUD,-4
3,300,0,MUD,-5
4,300,0,MUD,-6
5,300,0,MUD,-7
6,300,0,MUD,-8
7,300,0,MUD,-9
8,300,0,SAND,-10
9,300,0,SAND,-11
10,300,0,CLAY,-12
11,300,0,SAND,-13
12,300,0,SAND,-13
13,300,0,CLAY,-14
14,300,0,CLAY,-15
15,300,0,CLAY,-16
16,300,0,CLAY,-17
17,300,0,CLAY,-18
18,300,0,CLAY,-19
19,300,0,CLAY,-20
20,300,0,GRANITE,-21
21,300,0,GRANITE,-22
22,300,0,GRANITE,-23
23,300,0,GRANITE,-24
24,300,0,GRANITE,-25
25,300,0,GRANITE,-26
26,300,0,GRANITE,-27
27,300,0,GRANITE,-28
28,300,0,GRANITE,-29
29,300,0,GRANITE,-30
30,300,0,GRANITE,-31
31,300,0,GRANITE,-32
32,300,0,GRANITE,-33
289,300,100,MUD,-5
290,300,100,MUD,-6
291,300,100,MUD,-7
292,300,100,MUD,-8
293,300,100,CLAY,-9
294,300,100,CLAY,-10
295,300,100,CLAY,-11
296,300,100,CLAY,-12
297,300,100,CLAY,-13
298,300,100,CLAY,-14
299,300,100,CLAY,-15
300,300,100,CLAY,-16
301,300,100,CLAY,-17
302,300,100,CLAY,-18
303,300,100,GRANITE,-19
304,300,100,GRANITE,-20
305,300,100,GRANITE,-21
306,300,100,GRANITE,-22
307,300,100,GRANITE,-23
308,300,100,GRANITE,-24
309,300,100,GRANITE,-25
310,300,100,GRANITE,-26
311,300,100,GRANITE,-27
312,300,100,GRANITE,-28
313,300,100,GRANITE,-29
314,300,100,GRANITE,-30
315,300,100,GRANITE,-31
316,300,100,GRANITE,-32
317,300,100,GRANITE,-33
318,300,100,GRANITE,-34
319,300,100,GRANITE,-35
320,300,100,GRANITE,-36
321,300,100,GRANITE,-37
322,300,100,GRANITE,-38
323,300,100,GRANITE,-39
329,400,0,MUD,-3
330,400,0,MUD,-4
331,400,0,MUD,-5
332,400,0,MUD,-6
333,400,0,MUD,-7
334,400,0,MUD,-8
335,400,0,CLAY,-9
336,400,0,CLAY,-10
337,400,0,CLAY,-11
338,400,0,GRANITE,-12
339,400,0,GRANITE,-13
340,400,0,GRANITE,-14
341,400,0,GRANITE,-15
342,400,0,GRANITE,-16
343,400,0,GRANITE,-17
344,400,0,GRANITE,-18
345,400,0,GRANITE,-19
346,400,0,GRANITE,-20
347,400,0,GRANITE,-21
348,400,0,GRANITE,-22
349,400,0,GRANITE,-23
350,400,0,GRANITE,-24
351,400,0,GRANITE,-25
352,400,0,GRANITE,-26
353,400,0,GRANITE,-27
354,400,0,GRANITE,-28
355,400,0,GRANITE,-29
356,400,0,GRANITE,-30
357,400,0,GRANITE,-31
358,400,0,GRANITE,-32
359,400,0,GRANITE,-33
360,400,0,GRANITE,-34
361,400,0,GRANITE,-35
362,400,0,GRANITE,-36
363,400,0,GRANITE,-37
364,400,0,GRANITE,-38
365,400,0,GRANITE,-39
377,500,0,MUD,-2
378,500,0,MUD,-3
379,500,0,MUD,-4
380,500,0,MUD,-5
381,500,0,MUD,-6
382,500,0,MUD,-7
383,500,0,MUD,-8
384,500,0,CLAY,-9
385,500,0,CLAY,-10
386,500,0,CLAY,-11
387,500,0,CLAY,-12
388,500,0,CLAY,-13
389,500,0,SAND,-14
390,500,0,SAND,-15
391,500,0,CDG,-16
392,500,0,CDG,-17
393,500,0,CDG,-18
394,500,0,CDG,-19
395,500,0,CDG,-20
396,500,0,CDG,-21
397,500,0,CDG,-22
398,500,0,CDG,-23
399,500,0,GRANITE,-24
400,500,0,GRANITE,-25
401,500,0,GRANITE,-26
402,500,0,GRANITE,-27
403,500,0,GRANITE,-28
404,500,0,GRANITE,-29
405,500,0,GRANITE,-30
406,500,0,GRANITE,-31
407,500,0,GRANITE,-32
408,500,0,GRANITE,-33
409,500,0,GRANITE,-34
410,500,0,GRANITE,-35
411,500,0,GRANITE,-36
412,500,0,GRANITE,-37
413,500,0,GRANITE,-38
414,500,0,GRANITE,-39
417,400,100,MUD,-2
418,400,100,MUD,-3
419,400,100,MUD,-4
420,400,100,MUD,-5
421,400,100,MUD,-6
422,400,100,MUD,-7
423,400,100,MUD,-8
424,400,100,CLAY,-9
425,400,100,CLAY,-10
426,400,100,CLAY,-11
427,400,100,CLAY,-12
428,400,100,SAND,-13
429,400,100,SAND,-14
430,400,100,SAND,-15
431,400,100,SAND,-16
432,400,100,SAND,-17
433,400,100,SAND,-18
434,400,100,SAND,-19
435,400,100,SAND,-20
436,400,100,CDG,-21
437,400,100,CDG,-22
438,400,100,CDG,-23
439,400,100,GRANITE,-24
440,400,100,GRANITE,-25
441,400,100,GRANITE,-26
442,400,100,GRANITE,-27
443,400,100,GRANITE,-28
444,400,100,GRANITE,-28
445,400,100,GRANITE,-29
446,400,100,GRANITE,-30
447,400,100,GRANITE,-31
448,400,100,GRANITE,-32
449,400,100,GRANITE,-33
450,400,100,GRANITE,-34
451,400,100,GRANITE,-35
452,400,100,GRANITE,-36
453,400,100,GRANITE,-37
454,400,100,GRANITE,-38
455,400,100,GRANITE,-39
499,500,100,MUD,-2
500,500,100,MUD,-3
501,500,100,MUD,-4
502,500,100,MUD,-5
503,500,100,MUD,-6
504,500,100,MUD,-7
505,500,100,MUD,-8
506,500,100,MUD,-9
507,500,100,MUD,-10
508,500,100,CLAY,-11
509,500,100,CLAY,-12
510,500,100,CLAY,-13
511,500,100,CLAY,-14
512,500,100,CLAY,-15
513,500,100,CLAY,-16
514,500,100,CLAY,-17
515,500,100,CLAY,-18
516,500,100,SAND,-19
517,500,100,SAND,-20
518,500,100,SAND,-21
519,500,100,CLAY,-22
520,500,100,CLAY,-23
521,500,100,SAND,-24
522,500,100,SAND,-25
523,500,100,CDG,-26
524,500,100,CDG,-27
525,500,100,CDG,-28
526,500,100,CDG,-29
527,500,100,GRANITE,-30
528,500,100,GRANITE,-31
529,500,100,GRANITE,-32
530,500,100,GRANITE,-33
531,500,100,GRANITE,-34
532,500,100,GRANITE,-35
533,500,100,GRANITE,-36
534,500,100,GRANITE,-37
535,500,100,GRANITE,-38
536,500,100,GRANITE,-39
